id,workout_exercise_id,set_index,reps,weight,rpe,notes
142,48,0,11,90.00,null,null
143,48,1,10,90.00,null,null
144,48,2,15,80.00,null,null
145,49,0,11,76.80,null,null
146,49,1,10,76.80,null,null
147,49,2,13,66.80,null,null
148,50,0,12,93.00,null,null
149,50,1,13,86.00,null,null
150,50,2,12,86.00,null,null
151,51,0,14,16.00,null,null
152,51,1,12,16.00,null,null
153,51,2,11,16.00,null,null
154,52,0,12,50.00,null,null
155,52,1,10,50.00,null,null
156,52,2,12,40.00,null,null
157,53,0,14,32.00,null,null
158,53,1,13,32.00,null,null
159,53,2,10,32.00,null,null
160,53,3,10,32.00,null,null
1,1,0,12,54.30,null,null
2,1,1,12,54.30,null,null
3,1,2,12,54.30,null,null
4,2,0,12,59.00,null,null
5,2,1,10,59.00,null,null
6,3,0,12,54.30,null,null
7,3,1,10,54.30,null,null
8,4,0,12,54.30,null,null
9,4,1,10,50.00,null,null
10,5,0,12,16.00,null,null
11,5,1,12,16.00,null,null
12,5,2,12,14.00,null,null
13,6,0,15,12.00,null,null
14,6,1,14,12.00,null,null
15,6,2,13,12.00,null,null
16,7,0,12,85.00,null,null
17,7,1,11,85.00,null,null
18,7,2,10,85.00,null,null
19,8,0,12,71.80,null,null
20,8,1,10,71.80,null,null
21,8,2,9,71.80,null,null
22,9,0,12,93.00,null,null
23,9,1,12,86.00,null,null
24,10,0,12,18.00,null,null
25,10,1,11,18.00,null,null
26,10,2,10,18.00,null,null
27,11,0,12,52.20,null,null
28,11,1,12,52.20,null,null
29,11,2,12,52.20,null,null
30,12,0,14,41.00,null,null
31,12,1,12,41.00,null,null
32,12,2,15,36.00,null,null
33,12,3,12,36.00,null,null
34,13,0,14,54.30,null,null
35,13,1,11,54.30,null,null
36,13,2,12,52.00,null,null
37,13,3,11,52.00,null,null
38,14,0,15,36.00,null,null
39,14,1,13,36.00,null,null
40,14,2,12,36.00,null,null
41,14,3,11,36.00,null,null
42,16,0,18,32.00,null,null
43,16,1,12,39.00,null,null
44,16,2,12,39.00,null,null
45,17,0,20,73.00,null,null
46,17,1,20,79.00,null,null
47,17,2,20,79.00,null,null
48,17,3,16,86.00,null,null
68,24,0,12,85.00,null,null
69,24,1,10,85.00,null,null
70,24,2,8,85.00,null,null
71,25,0,11,71.80,null,null
72,25,1,10,71.80,null,null
73,25,2,10,66.80,null,null
74,26,0,12,93.00,null,null
75,26,1,12,86.00,null,null
76,26,2,10,86.00,null,null
77,27,0,12,18.00,null,null
78,27,1,11,18.00,null,null
79,27,2,10,18.00,null,null
80,28,0,7,54.00,null,null
81,28,1,11,50.00,null,null
82,28,2,11,50.00,null,null
83,29,0,16,32.00,null,null
84,29,1,14,32.00,null,null
85,29,2,12,32.00,null,null
86,29,3,12,32.00,null,null
87,30,0,15,54.30,null,null
88,30,1,14,54.30,null,null
89,30,2,13,54.30,null,null
90,31,0,12,59.00,null,null
91,31,1,9,59.00,null,null
92,31,2,11,52.00,null,null
93,32,0,12,54.30,null,null
94,32,1,10,54.30,null,null
95,32,2,12,52.00,null,null
96,33,0,20,54.00,null,null
97,33,1,16,54.00,null,null
98,33,2,14,54.00,null,null
99,34,0,12,16.00,null,null
100,34,1,12,16.00,null,null
101,34,2,12,16.00,null,null
102,35,0,12,18.00,null,null
103,35,1,11,20.30,null,null
104,35,2,12,20.30,null,null
105,36,0,10,90.00,null,null
106,36,1,10,85.00,null,null
107,36,2,10,80.00,null,null
108,37,0,14,66.80,null,null
109,37,1,14,71.80,null,null
110,37,2,12,71.82,null,null
111,38,0,12,93.00,null,null
112,38,1,13,86.00,null,null
113,38,2,12,86.00,null,null
114,39,0,12,18.00,null,null
115,39,1,14,16.00,null,null
116,39,2,12,16.00,null,null
117,40,0,12,50.00,null,null
118,40,1,11,50.00,null,null
119,40,2,11,50.00,null,null
120,41,0,14,32.00,null,null
121,41,1,13,32.00,null,null
122,41,2,10,32.00,null,null
123,41,3,10,32.00,null,null
124,42,0,14,54.30,null,null
125,42,1,14,54.30,null,null
126,42,2,14,54.30,null,null
127,42,3,14,54.30,null,null
128,43,0,15,41.00,null,null
129,43,1,12,41.00,null,null
130,43,2,10,41.00,null,null
131,43,3,12,36.00,null,null
132,44,0,0,0.00,null,null
133,44,1,0,0.00,null,null
134,44,2,0,0.00,null,null
135,45,0,16,39.00,null,null
136,45,1,15,39.00,null,null
137,45,2,16,39.00,null,null
138,46,0,24,86.00,null,null
139,46,1,22,86.00,null,null
140,46,2,20,86.00,null,null
141,46,3,20,86.00,null,null
