id,name,description,video,rest_time_seconds
1,Développé couché convergent,null,null,90
2,Chest press convergente,null,null,90
3,Pec deck,null,null,90
4,Élévations latérales à la poulie unilatéral,null,null,30
5,Développé épaules à la machine,null,null,90
6,Cable overhead triceps extension,null,null,90
8,Tirage horizontal machine prise large,null,null,90
9,Tirage vertical poulie haute prise sérrée,null,null,90
10,Rowing poulie basse prise neutre,null,null,120
11,Pull over à la poulie,null,null,90
12,Curl marteau aux haltères,null,null,90
13,Curl incliné aux haltères,null,null,90
14,Leg extensions,null,null,90
15,Leg curl allongé,null,null,90
16,Presse inclinée focus quadriceps,null,null,120
17,Adducteurs à la machine,null,null,90
18,Mollets à la presse à cuisse,null,null,90
19,Arm curl à la machine,null,null,90
20,Biceps Curl 21,null,null,90
