id,program_id,exercise_id,sets_count,reps_range,notes,position
1,1,8,3,8-12,null,1
2,1,9,3,8-12,null,2
3,1,10,3,8-12,null,3
4,1,11,3,12-15,null,4
5,1,12,3,8-12,null,5
6,1,13,3,12-15,null,6
7,2,1,3,8-12,null,1
8,2,2,3,8-12,null,2
9,2,3,3,10-12,null,3
10,2,4,3,10-12,null,4
11,2,5,3,8-12,null,5
12,2,6,4,12-15,null,6
13,3,14,4,8-12,null,1
14,3,15,4,12-15,null,2
16,3,17,3,10-12,null,4
17,3,18,4,8-12,null,5
15,3,16,3,8-12,null,3
18,4,19,3,10-12,null,1
19,4,6,3,12-15,null,2
20,4,20,3,21,null,3
21,4,12,3,12,null,4
