id,workout_id,exercise_id,notes
1,1,8,null
2,1,9,null
3,1,10,null
4,1,11,null
5,1,12,null
6,1,13,null
7,2,1,null
8,2,2,null
9,2,3,null
10,2,4,null
11,2,5,null
12,2,6,null
13,3,14,null
14,3,15,null
15,3,16,null
16,3,17,null
17,3,18,null
24,5,1,null
25,5,2,null
26,5,3,null
27,5,4,null
28,5,5,null
29,5,6,null
30,6,8,null
31,6,9,null
32,6,10,null
33,6,11,null
34,6,12,null
35,6,13,null
36,7,1,null
37,7,2,null
38,7,3,null
39,7,4,null
40,7,5,null
41,7,6,null
42,8,14,null
43,8,15,null
44,8,16,null
45,8,17,null
46,8,18,null
48,12,1,null
49,12,2,null
50,12,3,null
51,12,4,null
52,12,5,null
53,12,6,null
